1 e 5880828
2 non 4822816
3 che 4669735
4 di 4523863
5 la 3000913
6 il 2868616
7 un 2755678
8 a 2663207
9 per 2190239
10 è 1783132
11 una 1665910
12 in 1658246
13 mi 1556967
14 sono 1544869
15 si 1410332
16 ho 1403002
17 ha 1278380
18 ma 1254692
19 lo 1166229
20 cosa 1126445
21 con 1110876
22 no 1103140
23 le 1101894
24 ti 1087451
25 se 1025721
26 da 1009939
27 i 974037
28 come 963539
29 io 893890
30 ci 870078
31 hai 797931
32 questo 779865
33 bene 756069
34 qui 714797
35 sei 711436
36 del 682705
37 tu 658388
38 solo 608358
39 mio 579124
40 al 573573
41 me 572848
42 tutto 540068
43 te 524636
44 era 510505
45 della 486348
46 mia 468648
47 fatto 460290
48 fare 450220
49 essere 445847
50 so 441740
51 quando 435027
52 lei 434491
53 gli 426694
54 ora 426561
55 ne 424009
56 oh 421661
57 questa 414022
58 detto 407348
59 perche 405701
60 va 395252
61 sì 389607
62 ok 376897
63 quello 375218
64 mai 369256
65 alla 361757
66 o 359474
67 anche 357121
68 stato 354843
69 tutti 339389
70 chi 337082
71 abbiamo 336570
72 dei 335731
73 grazie 335608
74 molto 333625
75 sta 331533
76 voglio 327401
77 piu 326283
78 beh 318987
79 tuo 318959
80 sia 311865
81 lui 310545
82 allora 309246
83 nel 309094
84 cosi 306995
85 posso 303808
86 più 301114
87 ehi 297591
88 prima 297055
89 niente 296307
90 suo 295138
91 tua 292541
92 sai 290378
93 qualcosa 288083
94 siamo 285679
95 perché 285645
96 fa 278400
97 ancora 275506
98 davvero 274597
99 stai 274595
100 sua 273901
101 hanno 273347
102 casa 271793
103 uno 268788
104 dove 268469
105 vero 261937
106 su 260634
107 vuoi 259593
108 due 256116
109 noi 253218
110 così 246029
111 dire 245854
112 quindi 240542
113 delle 238206
114 quella 229787
115 altro 225443
116 sempre 225241
117 andare 222696
118 sto 222625
119 po 221011
120 ad 220787
121 li 215301
122 devo 213601
123 quel 213380
124 loro 211337
125 forse 209617
126 proprio 204727
127 certo 204173
128 tempo 198809
129 nella 196836
130 poi 196401
131 vi 195904
132 vita 191262
133 sul 190687
134 credo 190336
135 cose 190236
136 fuori 190078
137 anni 189939
138 andiamo 187938
139 puoi 186156
140 quanto 186104
141 cui 184003
142 visto 183466
143 parte 182908
144 qualcuno 180018
145 voi 176435
146 dio 174900
147 ciao 174599
148 lavoro 174260
149 volta 173897
150 adesso 171223
151 gia 170144
152 uomo 169881
153 dopo 169103
154 stata 165381
155 padre 164466
156 amico 161319
157 bisogno 160003
158 devi 158432
159 ed 157151
160 posto 155227
161 via 153486
